race_id,hamilton,vettel,raikkonen,max_verstappen,bottas,ricciardo,hulkenberg,perez,kevin_magnussen,sainz,alonso,ocon,leclerc,grosjean,gasly,vandoorne,ericsson,stroll,brendon_hartley,sirotkin
hockenheimring_2018,1500.107788946436,1184.7336627252303,1547.9548369343104,1347.1451153218104,1390.2686819226699,944.5468349847196,1278.376600041984,1220.2278480231832,1170.5375398728222,1021.0139824817827,1002.7921890728585,1241.6727873611712,922.2683961384686,1202.0842524335208,977.8854517539284,1021.3654150625905,1065.4058133065316,880.8561752517797,923.7751870598701,819.4367413261775
hungaroring_2018,1572.4269782799431,1353.762571850214,1552.1477615413667,1008.7565983735839,1408.8400521971116,1189.953570613689,1159.3727959743258,1091.8540045500486,1239.3176260253913,1118.8330816421203,1129.0244133338579,1117.3064158130837,791.1569209358332,1182.026478707198,1165.5765127759298,883.5329474625785,997.6215847886657,843.772650729773,1020.7303206047408,836.4420138223904
spa_2018,1600.8731785563364,1474.3981455826931,1160.1879980800074,1247.8232369932675,1441.0025265225427,1002.2045550281733,915.6786876486905,1256.910092017432,1251.74148008761,1116.412187316561,923.7806223365909,1247.720613871974,768.4732248915428,1250.651614641699,1192.4314847637168,884.5011145804724,1084.212375675075,919.317234552737,978.935895158181,945.1990317165424
monza_2018,1647.5936986261083,1482.9573731829003,1341.335615782068,1325.8701300362434,1479.2004662757752,903.2775625799919,954.592191574709,1279.334195062418,1041.1763890919176,1190.6789716984256,844.4792774715868,1302.616251307396,922.3190395149588,946.4380808759662,1071.433457893374,967.6765190976932,993.7540748675063,1069.2273050963356,848.4445424986417,1050.0501574878294
marina_bay_2018,1688.072466046566,1516.0362260167888,1380.1530582970252,1436.4513971504161,1485.1269726493836,1118.2452563054248,1053.3017920376856,1053.7805238976662,895.6618835716788,1222.4234881605257,1066.0510181656707,959.934701191953,1065.9697577172103,921.4703698118175,1036.8684074652829,1013.58426382721,1052.0222543387883,1004.2055637280781,819.7854374971776,873.3104621454953
sochi_2018,1723.2387802943776,1538.3244522544442,1424.2726861411443,1435.901100208923,1543.382723351444,1226.88328871069,1056.8445491155214,1099.8938535648092,1060.5263725836242,1001.7889003620277,1012.2272508578443,1073.8211980431695,1169.8609835592756,1003.1595946909937,855.316655267133,928.1749125696415,1028.6784912766432,953.7472122336305,717.3034524012977,809.1088425352106
suzuka_2018,1756.5711776410988,1480.853096089845,1431.8430340327172,1490.9196401879942,1591.9926118070484,1330.0221011951103,858.0844824605209,1200.026396415275,844.0141669279519,1079.6130892866558,974.7435634189247,1137.22504906123,938.8052282075791,1129.3980336544987,976.2506937637581,903.9798703683734,1036.2826158223713,856.6978554981504,837.7619620083835,807.3706321743593
americas_2018,1729.7210274433478,1503.666127227229,1542.5095280926023,1555.1088276625596,1549.5911924315274,1070.0305422880426,1086.4668072252691,1226.3688971155982,726.2782525680593,1183.110061612373,842.0124292014889,905.5367095735322,899.427335831401,955.9633721220079,1012.157770773613,999.8836958394867,1093.1701867648053,884.1049150334691,1015.8506885309005,881.4969326845332
rodriguez_2018,1682.4754063870816,1569.7435699354232,1570.453581124585,1631.6415512896751,1522.4815724256002,911.0962134782034,1210.3756338537496,972.4005707678753,777.7578303063805,936.9129039389784,740.8594523703104,1001.4869263166784,1098.7353497113074,883.4546080346302,1073.5981636661263,1119.95573565207,1136.6526105356184,950.0610515730674,954.1731516110483,918.1394170434372
interlagos_2018,1732.6996374954126,1510.1961573933431,1594.597549078917,1666.8219846746579,1503.4508342207005,1147.7920494100065,945.5868593770897,1059.838630263204,973.6285739101091,981.4324498601818,740.4250376222185,938.3511442039422,1183.2724978002752,1042.6130549807085,1018.0278617403554,1016.1913498692992,876.2340014758308,836.5190996530622,1021.7463340706281,873.0301929219038
yas_marina_2018,1773.4907157033733,1577.0389592587605,1142.8467442984077,1668.044983906921,1494.28545909325,1289.150376974759,790.9294604295202,1153.009397864285,1061.0743465590228,1152.2220064318299,906.2755547249405,842.8328116261698,1233.407762762524,1108.8103334705859,907.0866346901619,968.4334973085035,788.6961668296659,906.8173089880545,1032.1201567957958,865.8826223053146
